,Date,City,Country,Latitude,Longitude,Max Temperature,Winds,Cloudiness,Humidity
0,1562632323,Mataura,NZ,-46.19,168.86,51.01,18.99,100,74
1,1562632384,Wagar,US,31.44,-87.99,91.99,3.27,38,64
2,1562632324,Albany,US,42.65,-73.75,77.0,5.82,1,49
3,1562632377,Port Alfred,ZA,-33.59,26.89,64.0,8.01,43,77
4,1562632388,Tautira,PF,-17.73,-149.15,80.6,8.05,75,74
5,1562632237,Hasaki,JP,35.73,140.83,68.0,13.87,75,77
6,1562632357,Bluff,AU,-23.58,149.07,66.62,2.8,0,62
7,1562632338,Provideniya,RU,64.42,-173.23,73.4,11.18,0,43
8,1562632393,Fukue,JP,35.03,136.69,78.01,17.22,75,78
9,1562632193,Dunedin,NZ,-45.87,170.5,52.0,1.99,91,60
10,1562632395,Ahipara,NZ,-35.17,173.16,60.01,6.82,100,100
11,1562632306,Rikitea,PF,-23.12,-134.97,73.1,5.48,96,84
12,1562632397,Chuy,UY,-33.69,-53.46,48.53,4.92,98,73
13,1562632399,Alberton,ZA,-26.25,28.13,50.0,3.36,0,49
14,1562632400,Guerrero Negro,MX,27.97,-114.04,65.37,11.74,33,85
15,1562632094,Ushuaia,AR,-54.81,-68.31,39.2,5.82,0,93
16,1562632402,Umm Lajj,SA,25.02,37.27,84.53,9.42,0,71
17,1562632129,Hobart,AU,-42.88,147.33,55.99,9.17,20,66
18,1562632134,Puerto Ayora,EC,-0.74,-90.35,78.8,8.05,75,65
19,1562632406,Khatanga,RU,71.98,102.47,50.78,5.79,87,75
20,1562632407,Rawson,AR,-43.3,-65.11,49.08,11.41,66,59
21,1562632193,Kapaa,US,22.08,-159.32,84.2,19.46,75,74
22,1562632145,Bredasdorp,ZA,-34.53,20.04,53.6,4.7,0,76
23,1562632374,Jamestown,AU,-33.21,138.6,50.04,5.3,0,73
24,1562632219,Maragogi,BR,-9.01,-35.22,71.17,5.21,46,94
25,1562632115,Punta Arenas,CL,-53.16,-70.91,41.0,6.93,90,93
26,1562632414,Vardo,US,39.62,-77.74,75.99,3.58,90,88
27,1562632416,Ancud,CL,-41.87,-73.83,50.0,13.87,90,100
28,1562632417,Youkounkoun,GN,12.53,-13.12,74.43,4.63,84,88
29,1562632418,Avarua,CK,-21.21,-159.78,78.8,5.82,4,74
30,1562632419,Port Elizabeth,US,39.31,-74.98,75.0,5.82,1,73
31,1562632158,Ilulissat,GL,69.22,-51.1,53.6,4.7,20,40
32,1562632422,Joniskis,LT,56.24,23.62,51.8,9.17,90,100
